Date,Color,Code
2024-09-01,BLUE,1
2024-09-02,BLUE,1
2024-09-03,BLUE,1
2024-09-04,BLUE,1
2024-09-05,BLUE,1
2024-09-06,BLUE,1
2024-09-07,BLUE,1
2024-09-08,BLUE,1
2024-09-09,BLUE,1
2024-09-10,BLUE,1
2024-09-11,BLUE,1
2024-09-12,BLUE,1
2024-09-13,BLUE,1
2024-09-14,BLUE,1
2024-09-15,BLUE,1
2024-09-16,BLUE,1
2024-09-17,BLUE,1
2024-09-18,BLUE,1
2024-09-19,BLUE,1
2024-09-20,BLUE,1
2024-09-21,BLUE,1
2024-09-22,BLUE,1
2024-09-23,BLUE,1
2024-09-24,BLUE,1
2024-09-25,BLUE,1
2024-09-26,BLUE,1
2024-09-27,BLUE,1
2024-09-28,BLUE,1
2024-09-29,BLUE,1
2024-09-30,BLUE,1
2024-10-01,BLUE,1
2024-10-02,BLUE,1
2024-10-03,BLUE,1
2024-10-04,BLUE,1
2024-10-05,BLUE,1
2024-10-06,BLUE,1
2024-10-07,BLUE,1
2024-10-08,BLUE,1
2024-10-09,BLUE,1
2024-10-10,BLUE,1
2024-10-11,BLUE,1
2024-10-12,BLUE,1
2024-10-13,BLUE,1
2024-10-14,BLUE,1
2024-10-15,BLUE,1
2024-10-16,BLUE,1
2024-10-17,BLUE,1
2024-10-18,BLUE,1
2024-10-19,BLUE,1
2024-10-20,BLUE,1
2024-10-21,BLUE,1
2024-10-22,BLUE,1
2024-10-23,BLUE,1
2024-10-24,BLUE,1
2024-10-25,BLUE,1
2024-10-26,BLUE,1
2024-10-27,BLUE,1
2024-10-28,BLUE,1
2024-10-29,BLUE,1
2024-10-30,BLUE,1
2024-10-31,BLUE,1
2024-11-01,BLUE,1
2024-11-02,BLUE,1
2024-11-03,BLUE,1
2024-11-04,BLUE,1
2024-11-05,BLUE,1
2024-11-06,BLUE,1
2024-11-07,BLUE,1
2024-11-08,BLUE,1
2024-11-09,BLUE,1
2024-11-10,BLUE,1
2024-11-11,BLUE,1
2024-11-12,BLUE,1
2024-11-13,BLUE,1
2024-11-14,WHITE,2
2024-11-15,WHITE,2
2024-11-16,BLUE,1
2024-11-17,BLUE,1
2024-11-18,BLUE,1
2024-11-19,BLUE,1
2024-11-20,WHITE,2
2024-11-21,WHITE,2
2024-11-22,WHITE,2
2024-11-23,BLUE,1
2024-11-24,BLUE,1
2024-11-25,BLUE,1
2024-11-26,BLUE,1
2024-11-27,BLUE,1
2024-11-28,WHITE,2
2024-11-29,BLUE,1
2024-11-30,BLUE,1
2024-12-01,BLUE,1
2024-12-02,BLUE,1
2024-12-03,RED,3
2024-12-04,WHITE,2
2024-12-05,BLUE,1
2024-12-06,BLUE,1
2024-12-07,BLUE,1
2024-12-08,BLUE,1
2024-12-09,WHITE,2
2024-12-10,RED,3
2024-12-11,RED,3
2024-12-12,RED,3
2024-12-13,RED,3
2024-12-14,WHITE,2
2024-12-15,BLUE,1
2024-12-16,RED,3
2024-12-17,WHITE,2
2024-12-18,BLUE,1
2024-12-19,BLUE,1
2024-12-20,WHITE,2
2024-12-21,BLUE,1
2024-12-22,BLUE,1
2024-12-23,WHITE,2
2024-12-24,WHITE,2
2024-12-25,BLUE,1
2024-12-26,WHITE,2
2024-12-27,RED,3
2024-12-28,WHITE,2
2024-12-29,BLUE,1
2024-12-30,RED,3
2024-12-31,WHITE,2
